HOMO,LUMO,Dipole,Volumn,Zero-point energy
-0.26247,-0.00287,1.22,4608.561,-1628.249656
-0.3179,0.0659,1.8729,758.544,-232.4302351
-0.3179,0.06591,1.8729,725.552,-232.4302361
-0.25073,0.01099,0.9152,3601.859,-1503.545621
-0.25509,0.05864,1.0779,2170.401,-814.7993871
-0.26544,-0.00044,1.3795,2343.769,-1036.244671
-0.27996,-0.05202,10.5498,1539.472,-1325.905577
-0.2595,-0.00135,1.0244,2682.824,-1154.176925
-0.25369,0.04915,1.2603,2835.028,-1047.042549
-0.2495,-0.04716,6.3011,253.093,-238.1030056
-0.31965,-0.04984,6.7633,550.202,-426.7617697
-0.35384,0.06231,1.7468,345.176,-115.7151199
-0.35384,0.06231,1.7467,370.274,-115.7151206
-0.39911,0.05309,4.0135,454.677,-132.7467322
-0.26801,-0.03688,5.6887,928.737,-240.6067164
-0.23249,-0.03707,7.4893,302.677,-675.7598155
-0.0974,-0.02434,0.1448,1104.359,-2442.043482
-0.26706,0.06079,0.5591,1256.312,-292.3667062
-0.30906,0.0594,4.0867,711.627,-248.4960203
-0.2504,0.04102,1.2375,3248.239,-1279.330739
-0.24427,0.02058,3.1351,2750.265,-1022.580371
-0.30753,-0.04948,4.232,1769.999,-1362.821198
-0.28343,-0.0317,3.7248,2176.822,-812.5827179
-0.29849,-0.04392,2.873,1392.638,-577.9427278
-0.28933,-0.04185,1.9963,1429.381,-698.9328047
-0.294,-0.04066,1.9955,1312.062,-861.5054878
-0.29287,-0.04161,2.041,1274.582,-2975.498945
-0.27097,-0.01222,3.8026,2168.224,-3263.298211
-0.32094,-0.07839,12.0913,2117.687,-1013.621083
-0.26204,-0.01534,1.921,3034.002,-1100.373705
-0.2569,-0.0123,1.8916,2184.445,-865.728102
-0.25826,0.04213,0.8729,4223.818,-2963.501076
-0.2634,-0.00149,0,4325.465,-3258.751832
-0.29365,-0.03682,9.2041,292.11,-119.9916921
